Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,GHI,power ,pv
2020,1,1,0,0,13.3,0,0,0,0,0
2020,1,1,1,0,12.7,0,0,0,0,0
2020,1,1,2,0,12.1,0,0,0,0,0
2020,1,1,3,0,11.7,0,0,0,0,0
2020,1,1,4,0,11.3,0,0,0,0,0
2020,1,1,5,0,11.9,0,0,0,0,0
2020,1,1,6,0,12,0,0,0,0,0
2020,1,1,7,0,12.8,20,17,21,0.0816697,81.6697
2020,1,1,8,0,14.4,148,155,191,1.52782,1527.82
2020,1,1,9,0,16.4,250,286,380,2.96444,2964.44
2020,1,1,10,0,18.1,305,391,535,4.09026,4090.26
2020,1,1,11,0,19.4,333,448,633,4.72081,4720.81
2020,1,1,12,0,20.4,323,499,672,4.98998,4989.98
2020,1,1,13,0,21.1,325,236,483,3.43697,3436.97
2020,1,1,14,0,21.1,343,286,510,3.67398,3673.98
2020,1,1,15,0,20.8,200,162,272,1.99858,1998.58
2020,1,1,16,0,19.5,138,111,168,1.26486,1264.86
2020,1,1,17,0,17.4,13,10,14,0.0280775,28.0775
2020,1,1,18,0,16.6,0,0,0,0,0
2020,1,1,19,0,15.8,0,0,0,0,0
2020,1,1,20,0,15.1,0,0,0,0,0
2020,1,1,21,0,14.5,0,0,0,0,0
2020,1,1,22,0,13.8,0,0,0,0,0
2020,1,1,23,0,13.2,0,0,0,0,0
2020,1,2,0,0,12.8,0,0,0,0,0
2020,1,2,1,0,12.6,0,0,0,0,0
2020,1,2,2,0,12.4,0,0,0,0,0
2020,1,2,3,0,12.3,0,0,0,0,0
2020,1,2,4,0,12.3,0,0,0,0,0
2020,1,2,5,0,12.3,0,0,0,0,0
2020,1,2,6,0,12.4,0,0,0,0,0
2020,1,2,7,0,13.6,20,19,22,0.0815311,81.5311
2020,1,2,8,0,15.3,112,85,135,1.0201,1020.1
2020,1,2,9,0,17.7,202,159,274,2.0556,2055.6
2020,1,2,10,0,19.9,277,207,399,2.90384,2903.84
2020,1,2,11,0,21.7,253,595,653,4.94553,4945.53
2020,1,2,12,0,22.7,235,657,695,5.26575,5265.75
2020,1,2,13,0,23.1,216,666,663,5.10414,5104.14
2020,1,2,14,0,22.7,271,457,538,4.09671,4096.71
2020,1,2,15,0,22.1,201,157,271,2.00332,2003.32
2020,1,2,16,0,20.4,139,207,196,1.5476,1547.6
2020,1,2,17,0,18.6,21,26,22,0.0962878,96.2878
2020,1,2,18,0,18,0,0,0,0,0
2020,1,2,19,0,17,0,0,0,0,0
2020,1,2,20,0,15.9,0,0,0,0,0
2020,1,2,21,0,15.2,0,0,0,0,0
2020,1,2,22,0,14.7,0,0,0,0,0
2020,1,2,23,0,14.3,0,0,0,0,0
2020,1,3,0,0,13.8,0,0,0,0,0
2020,1,3,1,0,13.4,0,0,0,0,0
2020,1,3,2,0,13,0,0,0,0,0
2020,1,3,3,0,12.3,0,0,0,0,0
2020,1,3,4,0,11.5,0,0,0,0,0
2020,1,3,5,0,11,0,0,0,0,0
2020,1,3,6,0,10.7,0,0,0,0,0
2020,1,3,7,0,11.9,26,5,26,0.0991523,99.1523
2020,1,3,8,0,14.4,112,89,136,1.03563,1035.63
2020,1,3,9,0,17.4,202,166,277,2.07903,2079.03
2020,1,3,10,0,19.8,237,550,561,4.24915,4249.15
2020,1,3,11,0,21.2,274,570,658,4.76261,4762.61
2020,1,3,12,0,22,268,611,696,5.05963,5059.63
2020,1,3,13,0,22.4,325,249,493,3.44827,3448.27
2020,1,3,14,0,22.1,273,471,550,4.07637,4076.37
2020,1,3,15,0,21.5,224,375,394,3.05166,3051.66
2020,1,3,16,0,19.8,141,219,202,1.59778,1597.78
2020,1,3,17,0,17.3,22,35,25,0.116968,116.968
2020,1,3,18,0,16.1,0,0,0,0,0
2020,1,3,19,0,15.1,0,0,0,0,0
2020,1,3,20,0,14.2,0,0,0,0,0
2020,1,3,21,0,13.5,0,0,0,0,0
2020,1,3,22,0,12.8,0,0,0,0,0
2020,1,3,23,0,12.2,0,0,0,0,0
2020,1,4,0,0,11.7,0,0,0,0,0
2020,1,4,1,0,11.2,0,0,0,0,0
2020,1,4,2,0,10.7,0,0,0,0,0
2020,1,4,3,0,10.1,0,0,0,0,0
2020,1,4,4,0,9.6,0,0,0,0,0
2020,1,4,5,0,9.1,0,0,0,0,0
2020,1,4,6,0,8.7,0,0,0,0,0
2020,1,4,7,0,10.4,25,8,26,0.101354,101.354
2020,1,4,8,0,13,112,94,137,1.05594,1055.94
2020,1,4,9,0,16.8,201,173,280,2.12153,2121.53
2020,1,4,10,0,18.9,276,227,409,3.01312,3013.12
2020,1,4,11,0,20.1,262,605,669,5.06197,5061.97
2020,1,4,12,0,20.9,341,266,528,3.80814,3808.14
2020,1,4,13,0,21.3,325,256,498,3.54999,3549.99
2020,1,4,14,0,21.2,277,226,410,2.98407,2984.07
2020,1,4,15,0,20.5,178,522,415,3.43601,3436.01
2020,1,4,16,0,18.3,119,375,224,1.96326,1963.26
2020,1,4,17,0,14.9,30,102,38,0.261446,261.446
2020,1,4,18,0,13.7,0,0,0,0,0
2020,1,4,19,0,12.8,0,0,0,0,0
2020,1,4,20,0,12.1,0,0,0,0,0
2020,1,4,21,0,11.4,0,0,0,0,0
2020,1,4,22,0,10.8,0,0,0,0,0
2020,1,4,23,0,10.2,0,0,0,0,0
2020,1,5,0,0,9.7,0,0,0,0,0
2020,1,5,1,0,9.2,0,0,0,0,0
2020,1,5,2,0,8.7,0,0,0,0,0
2020,1,5,3,0,8.1,0,0,0,0,0
2020,1,5,4,0,7.6,0,0,0,0,0
2020,1,5,5,0,7.1,0,0,0,0,0
2020,1,5,6,0,6.8,0,0,0,0,0
2020,1,5,7,0,9.1,30,155,41,0.312493,312.493
2020,1,5,8,0,11.9,92,523,236,2.2599,2259.9
2020,1,5,9,0,16.2,124,700,441,3.90654,3906.54
2020,1,5,10,0,18.4,140,791,605,5.03063,5030.63
2020,1,5,11,0,19.7,160,813,708,5.6305,5630.5
2020,1,5,12,0,20.6,160,832,745,5.82622,5826.22
2020,1,5,13,0,21.1,154,821,709,5.57411,5574.11
2020,1,5,14,0,21,134,804,609,4.95751,4957.51
2020,1,5,15,0,20.3,116,722,446,3.85788,3857.88
2020,1,5,16,0,17.8,86,557,243,2.27461,2274.61
2020,1,5,17,0,14.1,31,199,47,0.399583,399.583
2020,1,5,18,0,12.9,0,0,0,0,0
2020,1,5,19,0,12,0,0,0,0,0
2020,1,5,20,0,11.4,0,0,0,0,0
2020,1,5,21,0,10.8,0,0,0,0,0
2020,1,5,22,0,10.3,0,0,0,0,0
2020,1,5,23,0,9.8,0,0,0,0,0
2020,1,6,0,0,9.2,0,0,0,0,0
2020,1,6,1,0,8.6,0,0,0,0,0
2020,1,6,2,0,8.1,0,0,0,0,0
2020,1,6,3,0,7.6,0,0,0,0,0
2020,1,6,4,0,7.2,0,0,0,0,0
2020,1,6,5,0,6.9,0,0,0,0,0
2020,1,6,6,0,6.8,0,0,0,0,0
2020,1,6,7,0,9.1,27,210,42,0.337523,337.523
2020,1,6,8,0,12,73,605,240,2.37005,2370.05
2020,1,6,9,0,16.2,94,776,445,3.97974,3979.74
2020,1,6,10,0,19.6,105,863,613,5.0716,5071.6
2020,1,6,11,0,21.3,106,916,724,5.67894,5678.94
2020,1,6,12,0,22.4,107,930,763,5.86423,5864.23
2020,1,6,13,0,22.9,105,920,728,5.62359,5623.59
2020,1,6,14,0,22.8,114,844,615,4.92171,4921.71
2020,1,6,15,0,22,101,764,452,3.86322,3863.22
2020,1,6,16,0,19.6,77,603,248,2.32922,2329.22
2020,1,6,17,0,17.2,30,233,49,0.436383,436.383
2020,1,6,18,0,16.7,0,0,0,0,0
2020,1,6,19,0,16.3,0,0,0,0,0
2020,1,6,20,0,15.4,0,0,0,0,0
2020,1,6,21,0,13.8,0,0,0,0,0
2020,1,6,22,0,12.2,0,0,0,0,0
2020,1,6,23,0,11.1,0,0,0,0,0
2020,1,7,0,0,10.4,0,0,0,0,0
2020,1,7,1,0,9.9,0,0,0,0,0
2020,1,7,2,0,9.4,0,0,0,0,0
2020,1,7,3,0,8.9,0,0,0,0,0
2020,1,7,4,0,8.6,0,0,0,0,0
2020,1,7,5,0,8.3,0,0,0,0,0
2020,1,7,6,0,8.2,0,0,0,0,0
2020,1,7,7,0,10.8,27,89,34,0.204472,204.472
2020,1,7,8,0,13.3,114,370,216,1.93803,1938.03
2020,1,7,9,0,17,202,159,274,2.05148,2051.48
2020,1,7,10,0,20.2,279,208,401,2.92681,2926.81
2020,1,7,11,0,22.6,329,234,487,3.46657,3466.57
2020,1,7,12,0,24,348,244,520,3.66689,3666.89
2020,1,7,13,0,24.5,332,234,491,3.46047,3460.47
2020,1,7,14,0,24.4,229,560,563,4.32763,4327.63
2020,1,7,15,0,23.7,195,457,406,3.24009,3240.09
2020,1,7,16,0,22.1,134,287,216,1.76321,1763.21
2020,1,7,17,0,20.4,29,52,34,0.199705,199.705
2020,1,7,18,0,19.3,0,0,0,0,0
2020,1,7,19,0,18.1,0,0,0,0,0
2020,1,7,20,0,17.5,0,0,0,0,0
2020,1,7,21,0,17.1,0,0,0,0,0
2020,1,7,22,0,16.8,0,0,0,0,0
2020,1,7,23,0,16.5,0,0,0,0,0
2020,1,8,0,0,16.1,0,0,0,0,0
2020,1,8,1,0,15.6,0,0,0,0,0
2020,1,8,2,0,15.3,0,0,0,0,0
2020,1,8,3,0,15,0,0,0,0,0
2020,1,8,4,0,14.8,0,0,0,0,0
2020,1,8,5,0,14.6,0,0,0,0,0
2020,1,8,6,0,14.3,0,0,0,0,0
2020,1,8,7,0,15.6,15,12,16,0.0397945,39.7945
2020,1,8,8,0,17.3,142,135,179,1.38875,1388.75
2020,1,8,9,0,20.1,249,266,369,2.81369,2813.69
2020,1,8,10,0,21.9,303,383,529,3.98055,3980.55
2020,1,8,11,0,23,304,497,641,4.82146,4821.46
2020,1,8,12,0,23.6,300,540,683,5.13747,5137.47
2020,1,8,13,0,23.7,283,547,656,4.98776,4987.76
2020,1,8,14,0,23.6,279,459,553,4.21682,4216.82
2020,1,8,15,0,22.8,229,371,401,3.15193,3151.93
2020,1,8,16,0,21,146,242,216,1.75154,1751.54
2020,1,8,17,0,18.4,32,53,36,0.230805,230.805
2020,1,8,18,0,17.3,0,0,0,0,0
2020,1,8,19,0,16.2,0,0,0,0,0
2020,1,8,20,0,15.2,0,0,0,0,0
2020,1,8,21,0,14.3,0,0,0,0,0
2020,1,8,22,0,13.5,0,0,0,0,0
2020,1,8,23,0,12.8,0,0,0,0,0
2020,1,9,0,0,12,0,0,0,0,0
2020,1,9,1,0,11.3,0,0,0,0,0
2020,1,9,2,0,10.4,0,0,0,0,0
2020,1,9,3,0,9.6,0,0,0,0,0
2020,1,9,4,0,8.9,0,0,0,0,0
2020,1,9,5,0,8.2,0,0,0,0,0
2020,1,9,6,0,7.7,0,0,0,0,0
2020,1,9,7,0,9,29,186,42,0.309726,309.726
2020,1,9,8,0,12.3,82,592,245,2.38997,2389.97
2020,1,9,9,0,16,107,770,456,4.05881,4058.81
2020,1,9,10,0,18.2,120,859,628,5.14264,5142.64
2020,1,9,11,0,19.6,127,904,740,5.75862,5758.62
2020,1,9,12,0,20.4,125,925,782,5.93511,5935.11
2020,1,9,13,0,20.8,119,922,749,5.719,5719
2020,1,9,14,0,20.7,114,882,643,5.10484,5104.84
2020,1,9,15,0,20,99,816,480,4.10308,4103.08
2020,1,9,16,0,17.7,76,668,271,2.56694,2566.94
2020,1,9,17,0,13.3,33,309,60,0.588766,588.766
2020,1,9,18,0,12,0,0,0,0,0
2020,1,9,19,0,11.1,0,0,0,0,0
2020,1,9,20,0,10.3,0,0,0,0,0
2020,1,9,21,0,9.3,0,0,0,0,0
2020,1,9,22,0,8.4,0,0,0,0,0
2020,1,9,23,0,7.5,0,0,0,0,0
2020,1,10,0,0,6.7,0,0,0,0,0
2020,1,10,1,0,6,0,0,0,0,0
2020,1,10,2,0,5.4,0,0,0,0,0
2020,1,10,3,0,4.7,0,0,0,0,0
2020,1,10,4,0,4.2,0,0,0,0,0
2020,1,10,5,0,3.7,0,0,0,0,0
2020,1,10,6,0,3.5,0,0,0,0,0
2020,1,10,7,0,5.8,27,265,46,0.364462,364.462
2020,1,10,8,0,9.1,72,671,256,2.56955,2569.55
2020,1,10,9,0,13.7,93,837,472,4.26612,4266.12
2020,1,10,10,0,16,104,910,643,5.36439,5364.39
2020,1,10,11,0,17.6,110,951,756,5.97624,5976.24
2020,1,10,12,0,18.7,109,969,799,6.1751,6175.1
2020,1,10,13,0,19.3,104,965,766,5.93059,5930.59
2020,1,10,14,0,19.4,100,928,659,5.30913,5309.13
2020,1,10,15,0,18.8,87,863,493,4.2502,4250.2
2020,1,10,16,0,16.4,67,726,281,2.68864,2688.64
2020,1,10,17,0,12.2,31,376,65,0.672744,672.744
2020,1,10,18,0,10.6,0,0,0,0,0
2020,1,10,19,0,9.5,0,0,0,0,0
2020,1,10,20,0,8.8,0,0,0,0,0
2020,1,10,21,0,8.1,0,0,0,0,0
2020,1,10,22,0,7.4,0,0,0,0,0
2020,1,10,23,0,6.7,0,0,0,0,0
2020,1,11,0,0,6.1,0,0,0,0,0
2020,1,11,1,0,5.5,0,0,0,0,0
2020,1,11,2,0,5,0,0,0,0,0
2020,1,11,3,0,4.5,0,0,0,0,0
2020,1,11,4,0,4.1,0,0,0,0,0
2020,1,11,5,0,3.8,0,0,0,0,0
2020,1,11,6,0,3.7,0,0,0,0,0
2020,1,11,7,0,6.1,27,227,42,0.329215,329.215
2020,1,11,8,0,9.3,76,611,244,2.41219,2412.19
2020,1,11,9,0,14,103,767,451,4.02144,4021.45
2020,1,11,10,0,17,121,839,618,5.05353,5053.53
2020,1,11,11,0,19.1,138,857,722,5.54316,5543.16
2020,1,11,12,0,20.6,143,865,759,5.5655,5565.5
2020,1,11,13,0,21.7,141,848,724,5.13934,5139.34
2020,1,11,14,0,22,139,794,619,4.6925,4692.5
2020,1,11,15,0,21.5,121,711,456,3.74686,3746.86
2020,1,11,16,0,19.7,90,555,255,2.31128,2311.28
2020,1,11,17,0,16.7,36,222,56,0.519065,519.065
2020,1,11,18,0,14.8,0,0,0,0,0
2020,1,11,19,0,13.3,0,0,0,0,0
2020,1,11,20,0,12.2,0,0,0,0,0
2020,1,11,21,0,11.3,0,0,0,0,0
2020,1,11,22,0,10.5,0,0,0,0,0
2020,1,11,23,0,9.8,0,0,0,0,0
2020,1,12,0,0,9,0,0,0,0,0
2020,1,12,1,0,8.3,0,0,0,0,0
2020,1,12,2,0,7.7,0,0,0,0,0
2020,1,12,3,0,7.1,0,0,0,0,0
2020,1,12,4,0,6.7,0,0,0,0,0
2020,1,12,5,0,6.3,0,0,0,0,0
2020,1,12,6,0,6.2,0,0,0,0,0
2020,1,12,7,0,9.3,26,184,39,0.282325,282.325
2020,1,12,8,0,12.2,80,571,237,2.27572,2275.72
2020,1,12,9,0,16.2,106,744,444,3.80396,3803.96
2020,1,12,10,0,20.1,121,831,613,4.74457,4744.56
2020,1,12,11,0,22.9,126,880,726,5.20342,5203.42
2020,1,12,12,0,24.1,128,896,768,5.44322,5443.22
2020,1,12,13,0,24.6,125,883,734,5.28191,5281.91
2020,1,12,14,0,24.5,116,850,633,4.73075,4730.75
2020,1,12,15,0,23.8,102,774,470,3.82225,3822.25
2020,1,12,16,0,21.8,79,621,266,2.41279,2412.79
2020,1,12,17,0,18.7,34,275,61,0.569866,569.866
2020,1,12,18,0,17.2,0,0,0,0,0
2020,1,12,19,0,16.1,0,0,0,0,0
2020,1,12,20,0,15.1,0,0,0,0,0
2020,1,12,21,0,14.3,0,0,0,0,0
2020,1,12,22,0,13.6,0,0,0,0,0
2020,1,12,23,0,12.8,0,0,0,0,0
2020,1,13,0,0,12,0,0,0,0,0
2020,1,13,1,0,11.2,0,0,0,0,0
2020,1,13,2,0,10.5,0,0,0,0,0
2020,1,13,3,0,9.9,0,0,0,0,0
2020,1,13,4,0,9.4,0,0,0,0,0
2020,1,13,5,0,8.9,0,0,0,0,0
2020,1,13,6,0,8.6,0,0,0,0,0
2020,1,13,7,0,11.2,25,90,31,0.180724,180.724
2020,1,13,8,0,13.8,112,372,215,1.91231,1912.31
2020,1,13,9,0,17.6,171,522,409,3.40052,3400.52
2020,1,13,10,0,21.3,214,593,566,4.4611,4461.1
2020,1,13,11,0,23.7,249,612,667,5.06604,5066.04
2020,1,13,12,0,24.9,269,608,706,5.26115,5261.15
2020,1,13,13,0,25.3,274,572,670,5.00454,5004.54
2020,1,13,14,0,25.2,250,528,572,4.36444,4364.44
2020,1,13,15,0,24.3,224,402,416,3.21816,3218.16
2020,1,13,16,0,22,154,227,222,1.72816,1728.16
2020,1,13,17,0,19.7,32,40,36,0.222348,222.348
2020,1,13,18,0,19.3,0,0,0,0,0
2020,1,13,19,0,18.9,0,0,0,0,0
2020,1,13,20,0,18.6,0,0,0,0,0
2020,1,13,21,0,18.2,0,0,0,0,0
2020,1,13,22,0,17.6,0,0,0,0,0
2020,1,13,23,0,16.9,0,0,0,0,0
2020,1,14,0,0,16.1,0,0,0,0,0
2020,1,14,1,0,15.6,0,0,0,0,0
2020,1,14,2,0,15,0,0,0,0,0
2020,1,14,3,0,14.6,0,0,0,0,0
2020,1,14,4,0,14.3,0,0,0,0,0
